Sanger_Sample_ID,Pool,Original_well,Tag1,Tag2,Run,Lane,Tag,Replicate,Source_sample,Species,Conc_ng_ul,Note
mxPCR8432536,1,G4,31,1,31658,1,31,1_3d7,1_3d7,Anopheles_stephensi,0.837,"stephensi (3 days after feeding) 1st lysis, 0.837ng/ul"
mxPCR8432537,1,H4,32,1,31658,1,32,1_3d8,1_3d8,Anopheles_stephensi,0.911,"stephensi (3 days after feeding) 1st lysis, 0.911ng/ul"
mxPCR8432538,1,A5,33,1,31658,1,33,1_9d1,1_9d1,Anopheles_stephensi,1.22,"stephensi (9 days after feeding) 1st lysis, 1.22ng/ul"
mxPCR8432539,1,B5,34,1,31658,1,34,1_9d2,1_9d2,Anopheles_stephensi,0.894,"stephensi (9 days after feeding) 1st lysis, 0.894ng/ul"
mxPCR8432540,1,C5,35,1,31658,1,35,1_9d3,1_9d3,Anopheles_stephensi,0.92,"stephensi (9 days after feeding) 1st lysis, 0.92ng/ul"
mxPCR8432541,1,D5,36,1,31658,1,36,1_9d4,1_9d4,Anopheles_stephensi,0.628,"stephensi (9 days after feeding) 1st lysis, 0.628ng/ul"
mxPCR8432542,1,E5,37,1,31658,1,37,1_9d5,1_9d5,Anopheles_stephensi,1.001,"stephensi (9 days after feeding) 1st lysis, 1.001ng/ul"
mxPCR8432543,1,F5,38,1,31658,1,38,1_9d6,1_9d6,Anopheles_stephensi,0.849,"stephensi (9 days after feeding) 1st lysis, 0.849ng/ul"
mxPCR8432544,1,G5,39,1,31658,1,39,1_9d7,1_9d7,Anopheles_stephensi,1.241,"stephensi (9 days after feeding) 1st lysis, 1.241ng/ul"
mxPCR8432545,1,H5,40,1,31658,1,40,1_9d8,1_9d8,Anopheles_stephensi,0.897,"stephensi (9 days after feeding) 1st lysis, 0.897ng/ul"
mxPCR8432546,1,A6,41,1,31658,1,41,1_ps10e8,1_ps10e8,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5ag/ul 3D7
mxPCR8432547,1,B6,42,1,31658,1,42,1_ps10e7,1_ps10e7,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50ag/ul 3D7
mxPCR8432548,1,C6,43,1,31658,1,43,1_ps10e6,1_ps10e6,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 500ag/ul 3D7
mxPCR8432549,1,D6,44,1,31658,1,44,1_ps10e5,1_ps10e5,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5fg/ul 3D7
mxPCR8432550,1,E6,45,1,31658,1,45,1_ps10e4,1_ps10e4,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50fg/ul 3D7
mxPCR8432551,1,A7,49,1,31658,1,46,1_pc10e8,1_pc10e8,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5ag/ul 3D7
mxPCR8432552,1,B7,50,1,31658,1,47,1_pc10e7,1_pc10e7,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50ag/ul 3D7
mxPCR8432553,1,C7,51,1,31658,1,48,1_pc10e6,1_pc10e6,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 500ag/ul 3D7
mxPCR8432554,1,D7,52,1,31658,1,49,1_pc10e5,1_pc10e5,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5fg/ul 3D7
mxPCR8432555,1,E7,53,1,31658,1,50,1_pc10e4,1_pc10e4,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50fg/ul 3D7
mxPCR8432556,2,A1,1,2,31658,1,51,2_un1,2_un1,Anopheles_stephensi,0.83,"stephensi (unfed) 1st lysis, 0.83ng/ul"
mxPCR8432557,2,B1,2,2,31658,1,52,2_un2,2_un2,Anopheles_stephensi,0.673,"stephensi (unfed) 1st lysis, 0.673ng/ul"
mxPCR8432558,2,C1,3,2,31658,1,53,2_un3,2_un3,Anopheles_stephensi,0.771,"stephensi (unfed) 1st lysis, 0.771ng/ul"
mxPCR8432559,2,D1,4,2,31658,1,54,2_un4,2_un4,Anopheles_stephensi,0.621,"stephensi (unfed) 1st lysis, 0.621ng/ul"
mxPCR8432560,2,E1,5,2,31658,1,55,2_un5,2_un5,Anopheles_stephensi,0.804,"stephensi (unfed) 1st lysis, 0.804ng/ul"
mxPCR8432561,2,F1,6,2,31658,1,56,2_un6,2_un6,Anopheles_stephensi,0.338,"stephensi (unfed) 1st lysis, 0.338ng/ul"
mxPCR8432562,2,G1,7,2,31658,1,57,2_un7,2_un7,Anopheles_stephensi,0.552,"stephensi (unfed) 1st lysis, 0.552ng/ul"
mxPCR8432563,2,H1,8,2,31658,1,58,2_un8,2_un8,Anopheles_stephensi,0.542,"stephensi (unfed) 1st lysis, 0.542ng/ul"
mxPCR8432564,2,A2,9,2,31658,1,59,2_0d1,2_0d1,Anopheles_stephensi,1.137,"stephensi (0 hours after feeding) 1st lysis, 1.137ng/ul"
mxPCR8432565,2,B2,10,2,31658,1,60,2_0d2,2_0d2,Anopheles_stephensi,1.122,"stephensi (0 hours after feeding) 1st lysis, 1.122ng/ul"
mxPCR8432566,2,C2,11,2,31658,1,61,2_0d3,2_0d3,Anopheles_stephensi,0.918,"stephensi (0 hours after feeding) 1st lysis, 0.918ng/ul"
mxPCR8432567,2,D2,12,2,31658,1,62,2_0d4,2_0d4,Anopheles_stephensi,0.863,"stephensi (0 hours after feeding) 1st lysis, 0.863ng/ul"
mxPCR8432568,2,E2,13,2,31658,1,63,2_0d5,2_0d5,Anopheles_stephensi,0.533,"stephensi (0 hours after feeding) 1st lysis, 0.533ng/ul"
mxPCR8432569,2,F2,14,2,31658,1,64,2_0d6,2_0d6,Anopheles_stephensi,0.709,"stephensi (0 hours after feeding) 1st lysis, 0.709ng/ul"
mxPCR8432570,2,G2,15,2,31658,1,65,2_0d7,2_0d7,Anopheles_stephensi,0.975,"stephensi (0 hours after feeding) 1st lysis, 0.975ng/ul"
mxPCR8432571,2,H2,16,2,31658,1,66,2_0d8,2_0d8,Anopheles_stephensi,0.968,"stephensi (0 hours after feeding) 1st lysis, 0.968ng/ul"
mxPCR8432572,2,A3,17,2,31658,1,67,2_1d1,2_1d1,Anopheles_stephensi,1.541,"stephensi (24 hours after feeding) 1st lysis, 1.541ng/ul"
mxPCR8432573,2,B3,18,2,31658,1,68,2_1d2,2_1d2,Anopheles_stephensi,1.396,"stephensi (24 hours after feeding) 1st lysis, 1.396ng/ul"
mxPCR8432574,2,C3,19,2,31658,1,69,2_1d3,2_1d3,Anopheles_stephensi,1.484,"stephensi (24 hours after feeding) 1st lysis, 1.484ng/ul"
mxPCR8432575,2,D3,20,2,31658,1,70,2_1d4,2_1d4,Anopheles_stephensi,1.574,"stephensi (24 hours after feeding) 1st lysis, 1.574ng/ul"
mxPCR8432576,2,E3,21,2,31658,1,71,2_1d5,2_1d5,Anopheles_stephensi,1.348,"stephensi (24 hours after feeding) 1st lysis, 1.348ng/ul"
mxPCR8432577,2,F3,22,2,31658,1,72,2_1d6,2_1d6,Anopheles_stephensi,1.565,"stephensi (24 hours after feeding) 1st lysis, 1.565ng/ul"
mxPCR8432578,2,G3,23,2,31658,1,73,2_1d7,2_1d7,Anopheles_stephensi,1.47,"stephensi (24 hours after feeding) 1st lysis, 1.47ng/ul"
mxPCR8432579,2,H3,24,2,31658,1,74,2_1d8,2_1d8,Anopheles_stephensi,2.107,"stephensi (24 hours after feeding) 1st lysis, 2.107ng/ul"
mxPCR8432580,2,A4,25,2,31658,1,75,2_3d1,2_3d1,Anopheles_stephensi,0.937,"stephensi (3 days after feeding) 1st lysis, 0.937ng/ul"
mxPCR8432581,2,B4,26,2,31658,1,76,2_3d2,2_3d2,Anopheles_stephensi,1.175,"stephensi (3 days after feeding) 1st lysis, 1.175ng/ul"
mxPCR8432582,2,C4,27,2,31658,1,77,2_3d3,2_3d3,Anopheles_stephensi,1.13,"stephensi (3 days after feeding) 1st lysis, 1.13ng/ul"
mxPCR8432583,2,D4,28,2,31658,1,78,2_3d4,2_3d4,Anopheles_stephensi,1.018,"stephensi (3 days after feeding) 1st lysis, 1.018ng/ul"
mxPCR8432584,2,E4,29,2,31658,1,79,2_3d5,2_3d5,Anopheles_stephensi,1.61,"stephensi (3 days after feeding) 1st lysis, 1.61ng/ul"
mxPCR8432585,2,F4,30,2,31658,1,80,2_3d6,2_3d6,Anopheles_stephensi,0.992,"stephensi (3 days after feeding) 1st lysis, 0.992ng/ul"
mxPCR8432586,2,G4,31,2,31658,1,81,2_3d7,2_3d7,Anopheles_stephensi,0.837,"stephensi (3 days after feeding) 1st lysis, 0.837ng/ul"
mxPCR8432587,2,H4,32,2,31658,1,82,2_3d8,2_3d8,Anopheles_stephensi,0.911,"stephensi (3 days after feeding) 1st lysis, 0.911ng/ul"
mxPCR8432588,2,A5,33,2,31658,1,83,2_9d1,2_9d1,Anopheles_stephensi,1.22,"stephensi (9 days after feeding) 1st lysis, 1.22ng/ul"
mxPCR8432589,2,B5,34,2,31658,1,84,2_9d2,2_9d2,Anopheles_stephensi,0.894,"stephensi (9 days after feeding) 1st lysis, 0.894ng/ul"
mxPCR8432590,2,C5,35,2,31658,1,85,2_9d3,2_9d3,Anopheles_stephensi,0.92,"stephensi (9 days after feeding) 1st lysis, 0.92ng/ul"
mxPCR8432591,2,D5,36,2,31658,1,86,2_9d4,2_9d4,Anopheles_stephensi,0.628,"stephensi (9 days after feeding) 1st lysis, 0.628ng/ul"
mxPCR8432592,2,E5,37,2,31658,1,87,2_9d5,2_9d5,Anopheles_stephensi,1.001,"stephensi (9 days after feeding) 1st lysis, 1.001ng/ul"
mxPCR8432593,2,F5,38,2,31658,1,88,2_9d6,2_9d6,Anopheles_stephensi,0.849,"stephensi (9 days after feeding) 1st lysis, 0.849ng/ul"
mxPCR8432594,2,G5,39,2,31658,1,89,2_9d7,2_9d7,Anopheles_stephensi,1.241,"stephensi (9 days after feeding) 1st lysis, 1.241ng/ul"
mxPCR8432595,2,H5,40,2,31658,1,90,2_9d8,2_9d8,Anopheles_stephensi,0.897,"stephensi (9 days after feeding) 1st lysis, 0.897ng/ul"
mxPCR8432596,2,A6,41,2,31658,1,91,2_ps10e8,2_ps10e8,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5ag/ul 3D7
mxPCR8432597,2,B6,42,2,31658,1,92,2_ps10e7,2_ps10e7,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50ag/ul 3D7
mxPCR8432598,2,C6,43,2,31658,1,93,2_ps10e6,2_ps10e6,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 500ag/ul 3D7
mxPCR8432599,2,D6,44,2,31658,1,94,2_ps10e5,2_ps10e5,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5fg/ul 3D7
mxPCR8432600,2,E6,45,2,31658,1,95,2_ps10e4,2_ps10e4,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50fg/ul 3D7
mxPCR8432601,2,A7,49,2,31658,1,96,2_pc10e8,2_pc10e8,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5ag/ul 3D7
mxPCR8432602,2,B7,50,2,31658,1,97,2_pc10e7,2_pc10e7,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50ag/ul 3D7
mxPCR8432603,2,C7,51,2,31658,1,98,2_pc10e6,2_pc10e6,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 500ag/ul 3D7
mxPCR8432604,2,D7,52,2,31658,1,99,2_pc10e5,2_pc10e5,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5fg/ul 3D7
mxPCR8432605,2,E7,53,2,31658,1,100,2_pc10e4,2_pc10e4,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50fg/ul 3D7
mxPCR8432606,3,A1,1,3,31658,1,101,3_un1,3_un1,Anopheles_stephensi,0.83,"stephensi (unfed) 1st lysis, 0.83ng/ul"
mxPCR8432607,3,B1,2,3,31658,1,102,3_un2,3_un2,Anopheles_stephensi,0.673,"stephensi (unfed) 1st lysis, 0.673ng/ul"
mxPCR8432608,3,C1,3,3,31658,1,103,3_un3,3_un3,Anopheles_stephensi,0.771,"stephensi (unfed) 1st lysis, 0.771ng/ul"
mxPCR8432609,3,D1,4,3,31658,1,104,3_un4,3_un4,Anopheles_stephensi,0.621,"stephensi (unfed) 1st lysis, 0.621ng/ul"
mxPCR8432610,3,E1,5,3,31658,1,105,3_un5,3_un5,Anopheles_stephensi,0.804,"stephensi (unfed) 1st lysis, 0.804ng/ul"
mxPCR8432611,3,F1,6,3,31658,1,106,3_un6,3_un6,Anopheles_stephensi,0.338,"stephensi (unfed) 1st lysis, 0.338ng/ul"
mxPCR8432612,3,G1,7,3,31658,1,107,3_un7,3_un7,Anopheles_stephensi,0.552,"stephensi (unfed) 1st lysis, 0.552ng/ul"
mxPCR8432613,3,H1,8,3,31658,1,108,3_un8,3_un8,Anopheles_stephensi,0.542,"stephensi (unfed) 1st lysis, 0.542ng/ul"
mxPCR8432614,3,A2,9,3,31658,1,109,3_0d1,3_0d1,Anopheles_stephensi,1.137,"stephensi (0 hours after feeding) 1st lysis, 1.137ng/ul"
mxPCR8432615,3,B2,10,3,31658,1,110,3_0d2,3_0d2,Anopheles_stephensi,1.122,"stephensi (0 hours after feeding) 1st lysis, 1.122ng/ul"
mxPCR8432616,3,C2,11,3,31658,1,111,3_0d3,3_0d3,Anopheles_stephensi,0.918,"stephensi (0 hours after feeding) 1st lysis, 0.918ng/ul"
mxPCR8432617,3,D2,12,3,31658,1,112,3_0d4,3_0d4,Anopheles_stephensi,0.863,"stephensi (0 hours after feeding) 1st lysis, 0.863ng/ul"
mxPCR8432618,3,E2,13,3,31658,1,113,3_0d5,3_0d5,Anopheles_stephensi,0.533,"stephensi (0 hours after feeding) 1st lysis, 0.533ng/ul"
mxPCR8432619,3,F2,14,3,31658,1,114,3_0d6,3_0d6,Anopheles_stephensi,0.709,"stephensi (0 hours after feeding) 1st lysis, 0.709ng/ul"
mxPCR8432620,3,G2,15,3,31658,1,115,3_0d7,3_0d7,Anopheles_stephensi,0.975,"stephensi (0 hours after feeding) 1st lysis, 0.975ng/ul"
mxPCR8432621,3,H2,16,3,31658,1,116,3_0d8,3_0d8,Anopheles_stephensi,0.968,"stephensi (0 hours after feeding) 1st lysis, 0.968ng/ul"
mxPCR8432622,3,A3,17,3,31658,1,117,3_1d1,3_1d1,Anopheles_stephensi,1.541,"stephensi (24 hours after feeding) 1st lysis, 1.541ng/ul"
mxPCR8432623,3,B3,18,3,31658,1,118,3_1d2,3_1d2,Anopheles_stephensi,1.396,"stephensi (24 hours after feeding) 1st lysis, 1.396ng/ul"
mxPCR8432624,3,C3,19,3,31658,1,119,3_1d3,3_1d3,Anopheles_stephensi,1.484,"stephensi (24 hours after feeding) 1st lysis, 1.484ng/ul"
mxPCR8432625,3,D3,20,3,31658,1,120,3_1d4,3_1d4,Anopheles_stephensi,1.574,"stephensi (24 hours after feeding) 1st lysis, 1.574ng/ul"
mxPCR8432626,3,E3,21,3,31658,1,121,3_1d5,3_1d5,Anopheles_stephensi,1.348,"stephensi (24 hours after feeding) 1st lysis, 1.348ng/ul"
mxPCR8432627,3,F3,22,3,31658,1,122,3_1d6,3_1d6,Anopheles_stephensi,1.565,"stephensi (24 hours after feeding) 1st lysis, 1.565ng/ul"
mxPCR8432628,3,G3,23,3,31658,1,123,3_1d7,3_1d7,Anopheles_stephensi,1.47,"stephensi (24 hours after feeding) 1st lysis, 1.47ng/ul"
mxPCR8432629,3,H3,24,3,31658,1,124,3_1d8,3_1d8,Anopheles_stephensi,2.107,"stephensi (24 hours after feeding) 1st lysis, 2.107ng/ul"
mxPCR8432630,3,A4,25,3,31658,1,125,3_3d1,3_3d1,Anopheles_stephensi,0.937,"stephensi (3 days after feeding) 1st lysis, 0.937ng/ul"
mxPCR8432631,3,B4,26,3,31658,1,126,3_3d2,3_3d2,Anopheles_stephensi,1.175,"stephensi (3 days after feeding) 1st lysis, 1.175ng/ul"
mxPCR8432632,3,C4,27,3,31658,1,127,3_3d3,3_3d3,Anopheles_stephensi,1.13,"stephensi (3 days after feeding) 1st lysis, 1.13ng/ul"
mxPCR8432633,3,D4,28,3,31658,1,128,3_3d4,3_3d4,Anopheles_stephensi,1.018,"stephensi (3 days after feeding) 1st lysis, 1.018ng/ul"
mxPCR8432634,3,E4,29,3,31658,1,129,3_3d5,3_3d5,Anopheles_stephensi,1.61,"stephensi (3 days after feeding) 1st lysis, 1.61ng/ul"
mxPCR8432635,3,F4,30,3,31658,1,130,3_3d6,3_3d6,Anopheles_stephensi,0.992,"stephensi (3 days after feeding) 1st lysis, 0.992ng/ul"
mxPCR8432636,3,G4,31,3,31658,1,131,3_3d7,3_3d7,Anopheles_stephensi,0.837,"stephensi (3 days after feeding) 1st lysis, 0.837ng/ul"
mxPCR8432637,3,H4,32,3,31658,1,132,3_3d8,3_3d8,Anopheles_stephensi,0.911,"stephensi (3 days after feeding) 1st lysis, 0.911ng/ul"
mxPCR8432638,3,A5,33,3,31658,1,133,3_9d1,3_9d1,Anopheles_stephensi,1.22,"stephensi (9 days after feeding) 1st lysis, 1.22ng/ul"
mxPCR8432639,3,B5,34,3,31658,1,134,3_9d2,3_9d2,Anopheles_stephensi,0.894,"stephensi (9 days after feeding) 1st lysis, 0.894ng/ul"
mxPCR8432640,3,C5,35,3,31658,1,135,3_9d3,3_9d3,Anopheles_stephensi,0.92,"stephensi (9 days after feeding) 1st lysis, 0.92ng/ul"
mxPCR8432641,3,D5,36,3,31658,1,136,3_9d4,3_9d4,Anopheles_stephensi,0.628,"stephensi (9 days after feeding) 1st lysis, 0.628ng/ul"
mxPCR8432642,3,E5,37,3,31658,1,137,3_9d5,3_9d5,Anopheles_stephensi,1.001,"stephensi (9 days after feeding) 1st lysis, 1.001ng/ul"
mxPCR8432643,3,F5,38,3,31658,1,138,3_9d6,3_9d6,Anopheles_stephensi,0.849,"stephensi (9 days after feeding) 1st lysis, 0.849ng/ul"
mxPCR8432644,3,G5,39,3,31658,1,139,3_9d7,3_9d7,Anopheles_stephensi,1.241,"stephensi (9 days after feeding) 1st lysis, 1.241ng/ul"
mxPCR8432645,3,H5,40,3,31658,1,140,3_9d8,3_9d8,Anopheles_stephensi,0.897,"stephensi (9 days after feeding) 1st lysis, 0.897ng/ul"
mxPCR8432646,3,A6,41,3,31658,1,141,3_ps10e8,3_ps10e8,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5ag/ul 3D7
mxPCR8432647,3,B6,42,3,31658,1,142,3_ps10e7,3_ps10e7,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50ag/ul 3D7
mxPCR8432648,3,C6,43,3,31658,1,143,3_ps10e6,3_ps10e6,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 500ag/ul 3D7
mxPCR8432649,3,D6,44,3,31658,1,144,3_ps10e5,3_ps10e5,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 5fg/ul 3D7
mxPCR8432650,3,E6,45,3,31658,1,145,3_ps10e4,3_ps10e4,Anopheles_stephensi,0.747,0.747ng/ul stephensi (unfed) + 50fg/ul 3D7
mxPCR8432651,3,A7,49,3,31658,1,146,3_pc10e8,3_pc10e8,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5ag/ul 3D7
mxPCR8432652,3,B7,50,3,31658,1,147,3_pc10e7,3_pc10e7,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50ag/ul 3D7
mxPCR8432653,3,C7,51,3,31658,1,148,3_pc10e6,3_pc10e6,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 500ag/ul 3D7
mxPCR8432654,3,D7,52,3,31658,1,149,3_pc10e5,3_pc10e5,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 5fg/ul 3D7
mxPCR8432655,3,E7,53,3,31658,1,150,3_pc10e4,3_pc10e4,Anopheles_coluzzii,1.238,1.238ng/ul coluzzii (unfed) + 50fg/ul 3D7
mxPCR8432656,4,A1,1,4,31658,1,151,4_un1,4_un1,Anopheles_stephensi,0.83,"stephensi (unfed) 1st lysis, 0.83ng/ul"
mxPCR8432657,4,B1,2,4,31658,1,152,4_un2,4_un2,Anopheles_stephensi,0.673,"stephensi (unfed) 1st lysis, 0.673ng/ul"
mxPCR8432658,4,C1,3,4,31658,1,153,4_un3,4_un3,Anopheles_stephensi,0.771,"stephensi (unfed) 1st lysis, 0.771ng/ul"
mxPCR8432659,4,D1,4,4,31658,1,154,4_un4,4_un4,Anopheles_stephensi,0.621,"stephensi (unfed) 1st lysis, 0.621ng/ul"
mxPCR8432660,4,E1,5,4,31658,1,155,4_un5,4_un5,Anopheles_stephensi,0.804,"stephensi (unfed) 1st lysis, 0.804ng/ul"
mxPCR8432661,4,F1,6,4,31658,1,156,4_un6,4_un6,Anopheles_stephensi,0.338,"stephensi (unfed) 1st lysis, 0.338ng/ul"
mxPCR8432662,4,G1,7,4,31658,1,157,4_un7,4_un7,Anopheles_stephensi,0.552,"stephensi (unfed) 1st lysis, 0.552ng/ul"
mxPCR8432663,4,H1,8,4,31658,1,158,4_un8,4_un8,Anopheles_stephensi,0.542,"stephensi (unfed) 1st lysis, 0.542ng/ul"
mxPCR8432664,4,A2,9,4,31658,1,159,4_0d1,4_0d1,Anopheles_stephensi,1.137,"stephensi (0 hours after feeding) 1st lysis, 1.137ng/ul"
mxPCR8432665,4,B2,10,4,31658,1,160,4_0d2,4_0d2,Anopheles_stephensi,1.122,"stephensi (0 hours after feeding) 1st lysis, 1.122ng/ul"
mxPCR8432666,4,C2,11,4,31658,1,161,4_0d3,4_0d3,Anopheles_stephensi,0.918,"stephensi (0 hours after feeding) 1st lysis, 0.918ng/ul"
mxPCR8432667,4,D2,12,4,31658,1,162,4_0d4,4_0d4,Anopheles_stephensi,0.863,"stephensi (0 hours after feeding) 1st lysis, 0.863ng/ul"
mxPCR8432668,4,E2,13,4,31658,1,163,4_0d5,4_0d5,Anopheles_stephensi,0.533,"stephensi (0 hours after feeding) 1st lysis, 0.533ng/ul"
mxPCR8432669,4,F2,14,4,31658,1,164,4_0d6,4_0d6,Anopheles_stephensi,0.709,"stephensi (0 hours after feeding) 1st lysis, 0.709ng/ul"
mxPCR8432670,4,G2,15,4,31658,1,165,4_0d7,4_0d7,Anopheles_stephensi,0.975,"stephensi (0 hours after feeding) 1st lysis, 0.975ng/ul"
