Sanger_Sample_ID,Pool,Original_well,Run,Lane,Tag,Replicate,Source_sample,Species,Conc_ng_ul,Note
GbS8815025,8010_51_e1,A9,33823,1,58,8010_51_e1_f16_1d1,8010_51_e1_f16_1d1,Anopheles_stephensi,0.71,"feed 16 - 24h 1 - 1st lysis, 0.71ng/ul"
GbS8815026,8010_51_e1,B9,33823,1,59,8010_51_e1_f16_1d2,8010_51_e1_f16_1d2,Anopheles_stephensi,1.32,"feed 16 - 24h 2 - 1st lysis, 1.32ng/ul"
GbS8815027,8010_51_e1,C9,33823,1,60,8010_51_e1_f16_1d3,8010_51_e1_f16_1d3,Anopheles_stephensi,1.21,"feed 16 - 24h 3 - 1st lysis, 1.21ng/ul"
GbS8815028,8010_51_e1,D9,33823,1,61,8010_51_e1_f16_1d4,8010_51_e1_f16_1d4,Anopheles_stephensi,1.06,"feed 16 - 24h 4 - 1st lysis, 1.06ng/ul"
GbS8815029,8010_51_e1,E9,33823,1,62,8010_51_e1_f16_1d5,8010_51_e1_f16_1d5,Anopheles_stephensi,0.72,"feed 16 - 24h 5 - 1st lysis, 0.72ng/ul"
GbS8815030,8010_51_e1,F9,33823,1,63,8010_51_e1_f16_1d6,8010_51_e1_f16_1d6,Anopheles_stephensi,1.29,"feed 16 - 24h 6 - 1st lysis, 1.29ng/ul"
GbS8815031,8010_51_e1,G9,33823,1,64,8010_51_e1_f16_1d7,8010_51_e1_f16_1d7,Anopheles_stephensi,0.75,"feed 16 - 24h 7 - 1st lysis, 0.75ng/ul"
GbS8815032,8010_51_e1,H9,33823,1,65,8010_51_e1_f16_1d8,8010_51_e1_f16_1d8,Anopheles_stephensi,0.99,"feed 16 - 24h 8 - 1st lysis, 0.99ng/ul"
GbS8815033,8010_51_e1,A10,33823,1,66,8010_51_e1_f16_1d9,8010_51_e1_f16_1d9,Anopheles_stephensi,1.03,"feed 16 - 24h 9 - 1st lysis, 1.03ng/ul"
GbS8815034,8010_51_e1,B10,33823,1,67,8010_51_e1_f16_1d10,8010_51_e1_f16_1d10,Anopheles_stephensi,1.4,"feed 16 - 24h 10 - 1st lysis, 1.40ng/ul"
GbS8815035,8010_51_e1,C10,33823,1,68,8010_51_e1_f16_1d11,8010_51_e1_f16_1d11,Anopheles_stephensi,1.29,"feed 16 - 24h 11 - 1st lysis, 1.29ng/ul"
GbS8815036,8010_51_e1,D10,33823,1,69,8010_51_e1_f16_1d12,8010_51_e1_f16_1d12,Anopheles_stephensi,1.65,"feed 16 - 24h 12 - 1st lysis, 1.65ng/ul"
GbS8815037,8010_51_e1,E10,33823,1,70,8010_51_e1_f16_1d13,8010_51_e1_f16_1d13,Anopheles_stephensi,1.52,"feed 16 - 24h 13 - 1st lysis, 1.52ng/ul"
GbS8815038,8010_51_e1,F10,33823,1,71,8010_51_e1_f16_1d14,8010_51_e1_f16_1d14,Anopheles_stephensi,1.51,"feed 16 - 24h 14 - 1st lysis, 1.51ng/ul"
GbS8815039,8010_51_e1,G10,33823,1,72,8010_51_e1_f16_1d15,8010_51_e1_f16_1d15,Anopheles_stephensi,1.81,"feed 16 - 24h 15 - 1st lysis, 1.81ng/ul"
GbS8815040,8010_51_e1,H10,33823,1,73,8010_51_e1_f16_1d16,8010_51_e1_f16_1d16,Anopheles_stephensi,1.49,"feed 16 - 24h 16 - 1st lysis, 1.49ng/ul"
GbS8815041,8010_51_e1,A11,33823,1,74,8010_51_e1_f16_9d1,8010_51_e1_f16_9d1,Anopheles_stephensi,0.52,"feed 16 - D9 1 - 1st lysis, 0.52ng/ul"
GbS8815042,8010_51_e1,B11,33823,1,75,8010_51_e1_f16_9d2,8010_51_e1_f16_9d2,Anopheles_stephensi,1.07,"feed 16 - D9 2 - 1st lysis, 1.07ng/ul"
GbS8815043,8010_51_e1,C11,33823,1,76,8010_51_e1_f16_9d3,8010_51_e1_f16_9d3,Anopheles_stephensi,0.83,"feed 16 - D9 3 - 1st lysis, 0.83ng/ul"
GbS8815044,8010_51_e1,D11,33823,1,77,8010_51_e1_f16_9d4,8010_51_e1_f16_9d4,Anopheles_stephensi,0.73,"feed 16 - D9 4 - 1st lysis, 0.73ng/ul"
GbS8815045,8010_51_e1,E11,33823,1,78,8010_51_e1_f16_9d5,8010_51_e1_f16_9d5,Anopheles_stephensi,0.99,"feed 16 - D9 5 - 1st lysis, 0.99ng/ul"
GbS8815046,8010_51_e1,F11,33823,1,79,8010_51_e1_f16_9d6,8010_51_e1_f16_9d6,Anopheles_stephensi,0.47,"feed 16 - D9 6 - 1st lysis, 0.47ng/ul"
GbS8815047,8010_51_e1,G11,33823,1,80,8010_51_e1_f16_9d7,8010_51_e1_f16_9d7,Anopheles_stephensi,0.65,"feed 16 - D9 7 - 1st lysis, 0.65ng/ul"
GbS8815048,8010_51_e1,H11,33823,1,81,8010_51_e1_f16_9d8,8010_51_e1_f16_9d8,Anopheles_stephensi,0.69,"feed 16 - D9 8 - 1st lysis, 0.69ng/ul"
GbS8815049,8010_51_e1,A12,33823,1,82,8010_51_e1_f16_9d9,8010_51_e1_f16_9d9,Anopheles_stephensi,0.95,"feed 16 - D9 9 - 1st lysis, 0.95ng/ul"
GbS8815050,8010_51_e1,B12,33823,1,83,8010_51_e1_f16_9d10,8010_51_e1_f16_9d10,Anopheles_stephensi,0.76,"feed 16 - D9 10 - 1st lysis, 0.76ng/ul"
GbS8815051,8010_51_e1,C12,33823,1,84,8010_51_e1_f16_9d11,8010_51_e1_f16_9d11,Anopheles_stephensi,0.56,"feed 16 - D9 11 - 1st lysis, 0.56ng/ul"
GbS8815052,8010_51_e1,D12,33823,1,85,8010_51_e1_f16_9d12,8010_51_e1_f16_9d12,Anopheles_stephensi,0.66,"feed 16 - D9 12 - 1st lysis, 0.66ng/ul"
GbS8815053,8010_51_e1,E12,33823,1,86,8010_51_e1_f16_9d13,8010_51_e1_f16_9d13,Anopheles_stephensi,0.94,"feed 16 - D9 13 - 1st lysis, 0.94ng/ul"
GbS8815054,8010_51_e1,F12,33823,1,87,8010_51_e1_f16_9d14,8010_51_e1_f16_9d14,Anopheles_stephensi,1.03,"feed 16 - D9 14 - 1st lysis, 1.03ng/ul"
GbS8815055,8010_51_e1,G12,33823,1,88,8010_51_e1_f16_9d15,8010_51_e1_f16_9d15,Anopheles_stephensi,1.01,"feed 16 - D9 15 - 1st lysis, 1.01ng/ul"
GbS8815056,8010_51_e1,H12,33823,1,89,8010_51_e1_f16_9d16,8010_51_e1_f16_9d16,Anopheles_stephensi,0.57,"feed 16 - D9 16 - 1st lysis, 0.57ng/ul"
GbS8815057,805_51_e1,A1,33823,1,90,805_51_e1_f15_un1,805_51_e1_f15_un1,Anopheles_stephensi,0.73,"stephensi (unfed 1) 2nd lysis, 0.73ng/ul"
GbS8815058,805_51_e1,B1,33823,1,91,805_51_e1_f15_un2,805_51_e1_f15_un2,Anopheles_stephensi,0.56,"stephensi (unfed 2) 2nd lysis, 0.56ng/ul"
GbS8815059,805_51_e1,C1,33823,1,92,805_51_e1_f15_un3,805_51_e1_f15_un3,Anopheles_stephensi,0.73,"stephensi (unfed 3) 2nd lysis, 0.73ng/ul"
GbS8815060,805_51_e1,D1,33823,1,93,805_51_e1_f15_un4,805_51_e1_f15_un4,Anopheles_stephensi,0.61,"stephensi (unfed 4) 2nd lysis, 0.61ng/ul"
GbS8815061,805_51_e1,E1,33823,1,94,805_51_e1_f15_un5,805_51_e1_f15_un5,Anopheles_stephensi,0.58,"stephensi (unfed 5) 2nd lysis, 0.58ng/ul"
GbS8815062,805_51_e1,F1,33823,1,95,805_51_e1_f15_un6,805_51_e1_f15_un6,Anopheles_stephensi,0.41,"stephensi (unfed 6) 2nd lysis, 0.41ng/ul"
GbS8815063,805_51_e1,G1,33823,1,96,805_51_e1_f15_un7,805_51_e1_f15_un7,Anopheles_stephensi,0.4,"stephensi (unfed 7) 2nd lysis, 0.40ng/ul"
GbS8815064,805_51_e1,H1,33823,1,97,805_51_e1_f15_un8,805_51_e1_f15_un8,Anopheles_stephensi,0.44,"stephensi (unfed 8) 2nd lysis, 0.44ng/ul"
GbS8815065,805_51_e1,A2,33823,1,98,805_51_e1_f15_1d1,805_51_e1_f15_1d1,Anopheles_stephensi,0.35,"feed 15 - 24h 1 - 2nd lysis, 0.35ng/ul"
GbS8815066,805_51_e1,B2,33823,1,99,805_51_e1_f15_1d2,805_51_e1_f15_1d2,Anopheles_stephensi,0.41,"feed 15 - 24h 2 - 2nd lysis, 0.41ng/ul"
GbS8815067,805_51_e1,C2,33823,1,100,805_51_e1_f15_1d3,805_51_e1_f15_1d3,Anopheles_stephensi,0.23,"feed 15 - 24h 3 - 2nd lysis, 0.23ng/ul"
GbS8815068,805_51_e1,D2,33823,1,101,805_51_e1_f15_1d4,805_51_e1_f15_1d4,Anopheles_stephensi,0.38,"feed 15 - 24h 4 - 2nd lysis, 0.38ng/ul"
GbS8815069,805_51_e1,E2,33823,1,102,805_51_e1_f15_1d5,805_51_e1_f15_1d5,Anopheles_stephensi,0.4,"feed 15 - 24h 5 - 2nd lysis, 0.40ng/ul"
GbS8815070,805_51_e1,F2,33823,1,103,805_51_e1_f15_1d6,805_51_e1_f15_1d6,Anopheles_stephensi,0.18,"feed 15 - 24h 6 - 2nd lysis, 0.18ng/ul"
GbS8815071,805_51_e1,G2,33823,1,104,805_51_e1_f15_1d7,805_51_e1_f15_1d7,Anopheles_stephensi,0.41,"feed 15 - 24h 7 - 2nd lysis, 0.41ng/ul"
GbS8815072,805_51_e1,H2,33823,1,105,805_51_e1_f15_1d8,805_51_e1_f15_1d8,Anopheles_stephensi,0.47,"feed 15 - 24h 8 - 2nd lysis, 0.47ng/ul"
GbS8815073,805_51_e1,A3,33823,1,106,805_51_e1_f15_1d9,805_51_e1_f15_1d9,Anopheles_stephensi,0.19,"feed 15 - 24h 9 - 2nd lysis, 0.19ng/ul"
GbS8815074,805_51_e1,B3,33823,1,107,805_51_e1_f15_1d10,805_51_e1_f15_1d10,Anopheles_stephensi,0.27,"feed 15 - 24h 10 - 2nd lysis, 0.27ng/ul"
GbS8815075,805_51_e1,C3,33823,1,108,805_51_e1_f15_1d11,805_51_e1_f15_1d11,Anopheles_stephensi,0.39,"feed 15 - 24h 11 - 2nd lysis, 0.39ng/ul"
GbS8815076,805_51_e1,D3,33823,1,109,805_51_e1_f15_1d12,805_51_e1_f15_1d12,Anopheles_stephensi,0.46,"feed 15 - 24h 12 - 2nd lysis, 0.46ng/ul"
GbS8815077,805_51_e1,E3,33823,1,110,805_51_e1_f15_1d13,805_51_e1_f15_1d13,Anopheles_stephensi,0.43,"feed 15 - 24h 13 - 2nd lysis, 0.43ng/ul"
GbS8815078,805_51_e1,F3,33823,1,111,805_51_e1_f15_1d14,805_51_e1_f15_1d14,Anopheles_stephensi,0.2,"feed 15 - 24h 14 - 2nd lysis, 0.20ng/ul"
GbS8815079,805_51_e1,G3,33823,1,112,805_51_e1_f15_1d15,805_51_e1_f15_1d15,Anopheles_stephensi,0.39,"feed 15 - 24h 15 - 2nd lysis, 0.39ng/ul"
GbS8815080,805_51_e1,H3,33823,1,113,805_51_e1_f15_1d16,805_51_e1_f15_1d16,Anopheles_stephensi,0.27,"feed 15 - 24h 16 - 2nd lysis, 0.27ng/ul"
GbS8815081,805_51_e1,A4,33823,1,114,805_51_e1_f15_8d1,805_51_e1_f15_8d1,Anopheles_stephensi,0.59,"feed 15 - D8 1 - 2nd lysis, 0.59ng/ul"
GbS8815082,805_51_e1,B4,33823,1,115,805_51_e1_f15_8d2,805_51_e1_f15_8d2,Anopheles_stephensi,0.33,"feed 15 - D8 2 - 2nd lysis, 0.33ng/ul"
GbS8815083,805_51_e1,C4,33823,1,116,805_51_e1_f15_8d3,805_51_e1_f15_8d3,Anopheles_stephensi,0.48,"feed 15 - D8 3 - 2nd lysis, 0.48ng/ul"
GbS8815084,805_51_e1,D4,33823,1,117,805_51_e1_f15_8d4,805_51_e1_f15_8d4,Anopheles_stephensi,0.48,"feed 15 - D8 4 - 2nd lysis, 0.48ng/ul"
GbS8815085,805_51_e1,E4,33823,1,118,805_51_e1_f15_8d5,805_51_e1_f15_8d5,Anopheles_stephensi,0.29,"feed 15 - D8 5 - 2nd lysis, 0.29ng/ul"
GbS8815086,805_51_e1,F4,33823,1,119,805_51_e1_f15_8d6,805_51_e1_f15_8d6,Anopheles_stephensi,0.51,"feed 15 - D8 6 - 2nd lysis, 0.51ng/ul"
GbS8815087,805_51_e1,G4,33823,1,120,805_51_e1_f15_8d7,805_51_e1_f15_8d7,Anopheles_stephensi,0.52,"feed 15 - D8 7 - 2nd lysis, 0.52ng/ul"
GbS8815088,805_51_e1,H4,33823,1,121,805_51_e1_f15_8d8,805_51_e1_f15_8d8,Anopheles_stephensi,0.27,"feed 15 - D8 8 - 2nd lysis, 0.27ng/ul"
GbS8815089,805_51_e1,A5,33823,1,122,805_51_e1_f15_8d9,805_51_e1_f15_8d9,Anopheles_stephensi,0.42,"feed 15 - D8 9 - 2nd lysis, 0.42ng/ul"
GbS8815090,805_51_e1,B5,33823,1,123,805_51_e1_f15_8d10,805_51_e1_f15_8d10,Anopheles_stephensi,0.39,"feed 15 - D8 10 - 2nd lysis, 0.39ng/ul"
GbS8815091,805_51_e1,C5,33823,1,124,805_51_e1_f15_8d11,805_51_e1_f15_8d11,Anopheles_stephensi,0.57,"feed 15 - D8 11 - 2nd lysis, 0.57ng/ul"
GbS8815092,805_51_e1,D5,33823,1,125,805_51_e1_f15_8d12,805_51_e1_f15_8d12,Anopheles_stephensi,0.64,"feed 15 - D8 12 - 2nd lysis, 0.64ng/ul"
GbS8815093,805_51_e1,E5,33823,1,126,805_51_e1_f15_8d13,805_51_e1_f15_8d13,Anopheles_stephensi,0.39,"feed 15 - D8 13 - 2nd lysis, 0.39ng/ul"
GbS8815094,805_51_e1,F5,33823,1,127,805_51_e1_f15_8d14,805_51_e1_f15_8d14,Anopheles_stephensi,0.33,"feed 15 - D8 14 - 2nd lysis, 0.33ng/ul"
GbS8815095,805_51_e1,G5,33823,1,128,805_51_e1_f15_8d15,805_51_e1_f15_8d15,Anopheles_stephensi,0.37,"feed 15 - D8 15 - 2nd lysis, 0.37ng/ul"
GbS8815096,805_51_e1,H5,33823,1,129,805_51_e1_f15_8d16,805_51_e1_f15_8d16,Anopheles_stephensi,0.72,"feed 15 - D8 16 - 2nd lysis, 0.72ng/ul"
GbS8815097,805_51_e1,A6,33823,1,130,805_51_e1_f15_13d1,805_51_e1_f15_13d1,Anopheles_stephensi,0.43,"feed 15 - D13 1 - 2nd lysis, 0.43ng/ul"
GbS8815098,805_51_e1,B6,33823,1,131,805_51_e1_f15_13d2,805_51_e1_f15_13d2,Anopheles_stephensi,0.22,"feed 15 - D13 2 - 2nd lysis, 0.22ng/ul"
GbS8815099,805_51_e1,C6,33823,1,132,805_51_e1_f15_13d3,805_51_e1_f15_13d3,Anopheles_stephensi,0.23,"feed 15 - D13 3 - 2nd lysis, 0.23ng/ul"
GbS8815100,805_51_e1,D6,33823,1,133,805_51_e1_f15_13d4,805_51_e1_f15_13d4,Anopheles_stephensi,0.58,"feed 15 - D13 4 - 2nd lysis, 0.58ng/ul"
GbS8815101,805_51_e1,E6,33823,1,134,805_51_e1_f15_13d5,805_51_e1_f15_13d5,Anopheles_stephensi,0.27,"feed 15 - D13 5 - 2nd lysis, 0.27ng/ul"
GbS8815102,805_51_e1,F6,33823,1,135,805_51_e1_f15_13d6,805_51_e1_f15_13d6,Anopheles_stephensi,0.14,"feed 15 - D13 6 - 2nd lysis, 0.14ng/ul"
GbS8815103,805_51_e1,G6,33823,1,136,805_51_e1_f15_13d7,805_51_e1_f15_13d7,Anopheles_stephensi,0.18,"feed 15 - D13 7 - 2nd lysis, 0.18ng/ul"
GbS8815104,805_51_e1,H6,33823,1,137,805_51_e1_f15_13d8,805_51_e1_f15_13d8,Anopheles_stephensi,0.22,"feed 15 - D13 8 - 2nd lysis, 0.22ng/ul"
GbS8815105,805_51_e1,A7,33823,1,138,805_51_e1_f15_14d1,805_51_e1_f15_14d1,Anopheles_stephensi,0.55,"feed 15 - D14 1 - 2nd lysis, 0.55ng/ul"
